# source: 厚生労働省「労働安全衛生法に基づくストレスチェック制度実施マニュアル」巻末資料 職業性ストレス簡易調査票(57項目) (docs/evidence/manual_main.pdf p.192-193) / 逆転項目と尺度定義は「数値基準に基づいて『高ストレス者』を選定する方法」(docs/evidence/select_num.pdf p.2-3,5) / license: 公共データ利用規約(第1.0版) PDL1.0 (CC BY 4.0 互換) 出典: 厚生労働省 https://stresscheck.mhlw.go.jp/ ・上記PDFから書き起こして加工
# columns: item_no=1-origin 通し番号 / domain=A|B|C|D / domain_item_no=領域内番号 / scale=素点換算表の尺度 / context=C領域の共通設問文 / text=設問全文 / choices=選択肢(1|2|3|4の順) / reverse=1なら1<->4,2<->3に逆転 / scored=0なら高ストレス判定に使わない(満足度)
item_no,domain,domain_item_no,scale,context,text,choices,reverse,scored
40,B,23,身体愁訴,,腰が痛い,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
41,B,24,身体愁訴,,目が疲れる,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
42,B,25,身体愁訴,,動悸や息切れがする,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
43,B,26,身体愁訴,,胃腸の具合が悪い,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
44,B,27,身体愁訴,,食欲がない,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
45,B,28,身体愁訴,,便秘や下痢をする,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
46,B,29,身体愁訴,,よく眠れない,ほとんどなかった|ときどきあった|しばしばあった|ほとんどいつもあった,0,1
47,C,1,上司からのサポート,次の人たちはどのくらい気軽に話ができますか？,上司,非常に|かなり|多少|全くない,0,1
48,C,2,同僚からのサポート,次の人たちはどのくらい気軽に話ができますか？,職場の同僚,非常に|かなり|多少|全くない,0,1
49,C,3,家族・友人からのサポート,次の人たちはどのくらい気軽に話ができますか？,配偶者、家族、友人等,非常に|かなり|多少|全くない,0,1
50,C,4,上司からのサポート,あなたが困った時、次の人たちはどのくらい頼りになりますか？,上司,非常に|かなり|多少|全くない,0,1
51,C,5,同僚からのサポート,あなたが困った時、次の人たちはどのくらい頼りになりますか？,職場の同僚,非常に|かなり|多少|全くない,0,1
52,C,6,家族・友人からのサポート,あなたが困った時、次の人たちはどのくらい頼りになりますか？,配偶者、家族、友人等,非常に|かなり|多少|全くない,0,1
53,C,7,上司からのサポート,あなたの個人的な問題を相談したら、次の人たちはどのくらいきいてくれますか？,上司,非常に|かなり|多少|全くない,0,1
54,C,8,同僚からのサポート,あなたの個人的な問題を相談したら、次の人たちはどのくらいきいてくれますか？,職場の同僚,非常に|かなり|多少|全くない,0,1
55,C,9,家族・友人からのサポート,あなたの個人的な問題を相談したら、次の人たちはどのくらいきいてくれますか？,配偶者、家族、友人等,非常に|かなり|多少|全くない,0,1
56,D,1,仕事や生活の満足度,,仕事に満足だ,満足|まあ満足|やや不満足|不満足,0,0
57,D,2,仕事や生活の満足度,,家庭生活に満足だ,満足|まあ満足|やや不満足|不満足,0,0
