# source: 厚生労働省「数値基準に基づいて『高ストレス者』を選定する方法」(docs/evidence/select_num.pdf p.1) 逐語: 「㋐ 領域Ｂの合計点数が77 点以上」「㋑ 領域ＡとＣの合算の合計点数が76 点以上であり、かつ領域Ｂの合計点数が63 点以上」 / 簡略版23項目は同マニュアル (docs/evidence/manual_main.pdf p.46-47) 逐語: 「合計点数が31 点以上」「合計点数が39 点以上であって、かつ、『心身のストレス反応』の合計点数が23 点以上」 / license: 公共データ利用規約(第1.0版) PDL1.0 (CC BY 4.0 互換) 出典: 厚生労働省 https://stresscheck.mhlw.go.jp/
# note: これらの数値はマニュアル上「評価基準の設定例」であり、実施者の意見と衛生委員会の調査審議を経て事業者が変更できる。本ファイルを差し替えるだけで判定が変わる (コード側に数値を持たない)。
# note: 満足度(領域D)は高ストレス者の選定に使用しない。原典逐語: 「調査票の項目中、満足度に関する回答は評価に含みません」。
# semantics: rule 行は同一 rule 名の全条件のAND。異なる rule 名どうしはOR。1つでも成立すれば高ストレス。
#   expr: "B" = 領域B合計 / "A+C" = 領域AとCの合算。op: 比較演算子。value: 閾値。
# semantics: reverse_items 行の items は、その variant の item_no を半角スペース区切りで並べたもの (1<->4, 2<->3 に置換)。
#   57項目版の逐語根拠: 「領域「Ａ」の１～７、11～13、15、領域「Ｂ」の１～３」 -> 通し番号 1-7,11,12,13,15,18,19,20
#   23項目版は上記の部分集合であるため 1,2,3 のみが残る (jsq_items_23.csv の reverse 列と一致することをテストで検査)
variant,kind,rule,expr,op,value,items
57,rule,B_only,B,>=,77,
57,rule,AC_and_B,A+C,>=,76,
57,rule,AC_and_B,B,>=,63,
57,reverse_items,,,,,1 2 3 4 5 6 7 11 12 13 15 18 19 20
23,rule,B_only,B,>=,31,
23,rule,AC_and_B,A+C,>=,39,
23,rule,AC_and_B,B,>=,23,
23,reverse_items,,,,,1 2 3
